part_id,tote_id,quantity
PART_01,TOTE_0001,70
PART_01,TOTE_0002,70
PART_01,TOTE_0003,70
PART_01,TOTE_0004,70
PART_01,TOTE_0005,70
PART_01,TOTE_0006,70
PART_01,TOTE_0007,70
PART_01,TOTE_0008,70
PART_01,TOTE_0009,70
PART_01,TOTE_0010,70
PART_01,TOTE_0011,70
PART_01,TOTE_0012,70
PART_01,TOTE_0013,70
PART_01,TOTE_0014,70
PART_01,TOTE_0015,70
PART_01,TOTE_0016,70
PART_01,TOTE_0017,70
PART_01,TOTE_0018,70
PART_01,TOTE_0019,70
PART_01,TOTE_0020,70
PART_01,TOTE_0021,70
PART_01,TOTE_0022,70
PART_01,TOTE_0023,70
PART_01,TOTE_0024,70
PART_01,TOTE_0025,70
PART_01,TOTE_0026,70
PART_01,TOTE_0027,70
PART_01,TOTE_0028,70
PART_01,TOTE_0029,70
PART_01,TOTE_0030,70
PART_01,TOTE_0031,70
PART_01,TOTE_0032,70
PART_01,TOTE_0033,70
PART_01,TOTE_0034,70
PART_01,TOTE_0035,70
PART_01,TOTE_0036,70
PART_01,TOTE_0037,70
PART_01,TOTE_0038,70
PART_01,TOTE_0039,70
PART_01,TOTE_0040,70
PART_01,TOTE_0041,70
PART_01,TOTE_0042,70
PART_01,TOTE_0043,70
PART_01,TOTE_0044,70
PART_01,TOTE_0045,70
PART_01,TOTE_0046,70
PART_01,TOTE_0047,70
PART_01,TOTE_0048,70
PART_01,TOTE_0049,70
PART_01,TOTE_0050,70
PART_01,TOTE_0051,70
PART_01,TOTE_0052,70
PART_01,TOTE_0053,70
PART_01,TOTE_0054,70
PART_01,TOTE_0055,70
PART_01,TOTE_0056,70
PART_01,TOTE_0057,70
PART_01,TOTE_0058,70
PART_01,TOTE_0059,70
PART_01,TOTE_0060,70
PART_01,TOTE_0061,70
PART_01,TOTE_0062,70
PART_01,TOTE_0063,70
PART_01,TOTE_0064,70
PART_01,TOTE_0065,70
PART_01,TOTE_0066,70
PART_01,TOTE_0067,70
PART_01,TOTE_0068,70
PART_01,TOTE_0069,70
PART_01,TOTE_0070,70
PART_01,TOTE_0071,70
PART_01,TOTE_0072,70
PART_01,TOTE_0073,70
PART_01,TOTE_0074,70
PART_01,TOTE_0075,70
PART_01,TOTE_0076,70
PART_01,TOTE_0077,70
PART_01,TOTE_0078,70
PART_01,TOTE_0079,70
PART_01,TOTE_0080,70
PART_01,TOTE_0081,70
PART_01,TOTE_0082,70
PART_01,TOTE_0083,70
PART_01,TOTE_0084,70
PART_01,TOTE_0085,70
PART_01,TOTE_0086,70
PART_01,TOTE_0087,70
PART_01,TOTE_0088,70
PART_01,TOTE_0089,70
PART_01,TOTE_0090,70
PART_01,TOTE_0091,70
PART_01,TOTE_0092,70
PART_01,TOTE_0093,70
PART_01,TOTE_0094,70
PART_01,TOTE_0095,70
PART_01,TOTE_0096,70
PART_01,TOTE_0097,70
PART_01,TOTE_0098,50
PART_01,TOTE_0548,10
PART_01,TOTE_0549,10
PART_01,TOTE_0550,10
PART_01,TOTE_0551,10
PART_01,TOTE_0552,10
PART_01,TOTE_0553,10
PART_01,TOTE_0554,10
PART_01,TOTE_0555,10
PART_01,TOTE_0556,10
PART_01,TOTE_0557,10
PART_01,TOTE_0558,10
PART_01,TOTE_0559,10
PART_01,TOTE_0560,10
PART_01,TOTE_0561,10
PART_01,TOTE_0562,10
PART_01,TOTE_0563,10
PART_01,TOTE_0564,10
PART_01,TOTE_0565,10
PART_01,TOTE_0566,10
PART_01,TOTE_0567,10
PART_01,TOTE_0568,10
PART_01,TOTE_0569,10
PART_01,TOTE_0570,10
PART_01,TOTE_0571,10
PART_01,TOTE_0572,10
PART_01,TOTE_0573,10
PART_01,TOTE_0574,10
PART_01,TOTE_0575,10
PART_01,TOTE_0576,10
PART_01,TOTE_0577,10
PART_01,TOTE_0578,10
PART_01,TOTE_0579,10
PART_01,TOTE_0580,10
PART_01,TOTE_0581,10
PART_01,TOTE_0582,10
PART_01,TOTE_0583,10
PART_01,TOTE_0584,10
PART_01,TOTE_0585,10
PART_01,TOTE_0586,10
PART_01,TOTE_0587,10
PART_01,TOTE_0588,10
PART_01,TOTE_0589,10
PART_01,TOTE_0590,10
PART_01,TOTE_0591,10
PART_01,TOTE_0592,10
PART_01,TOTE_0593,10
PART_01,TOTE_0594,10
PART_01,TOTE_0595,10
PART_01,TOTE_0596,10
PART_01,TOTE_0597,10
PART_01,TOTE_0598,10
